ID,Mode,Generations
224,Sex_auto,107254
225,Sex_auto,145211
226,Sex_auto,53041
227,Sex_auto,43389
228,Sex_auto,160990
229,Sex_auto,71083
230,Sex_auto,44872
231,Sex_auto,226175
232,Sex_auto,73295
233,Sex_auto,73347
234,Sex_auto,55391
235,Sex_auto,36969
236,Sex_auto,65658
237,Sex_auto,57353
238,Sex_auto,155189
239,Sex_auto,37810
240,Sex_auto,23114
241,Sex_auto,106835
242,Sex_auto,69141
243,Sex_auto,37131
244,Sex_auto,36449
245,Sex_auto,79295
246,Sex_auto,90763
247,Sex_auto,129194
248,Sex_auto,76852
249,Sex_auto,54202
250,Sex_auto,98948
251,Sex_auto,77817
252,Sex_auto,43152
253,Sex_auto,108074
254,Sex_auto,88314
255,Sex_auto,71049
256,Sex_auto,125538
257,Sex_auto,34311
258,Sex_auto,66382
259,Sex_auto,106489
260,Sex_auto,103782
261,Sex_auto,102330
262,Sex_auto,151486
263,Sex_auto,68433
264,Sex_auto,68803
265,Sex_auto,50754
266,Sex_auto,71224
267,Sex_auto,63301
268,Sex_auto,51011
269,Sex_auto,48944
270,Sex_auto,153539
271,Sex_auto,49288
272,Sex_auto,43229
273,Sex_auto,53286
274,Sex_auto,67917
275,Sex_auto,80655
276,Sex_auto,102494
277,Sex_auto,42027
278,Sex_auto,49848
279,Sex_auto,41594
280,Sex_auto,65780
281,Sex_auto,43477
282,Sex_auto,76700
283,Sex_auto,113047
284,Sex_auto,41122
285,Sex_auto,86076
286,Sex_auto,72203
287,Sex_auto,118099
288,Sex_auto,21038
289,Sex_auto,63611
290,Sex_auto,90053
291,Sex_auto,70600
292,Sex_auto,118313
293,Sex_auto,61243
294,Sex_auto,30536
295,Sex_auto,58824
296,Sex_auto,93688
297,Sex_auto,118226
298,Sex_auto,132455
299,Sex_auto,81410
300,Sex_auto,57927
301,Sex_mito,28458
302,Sex_mito,12541
303,Sex_mito,23180
304,Sex_mito,28989
305,Sex_mito,20318
306,Sex_mito,24493
307,Sex_mito,28841
308,Sex_mito,12239
309,Sex_mito,15717
310,Sex_mito,21622
311,Sex_mito,18698
312,Sex_mito,30977
313,Sex_mito,8016
314,Sex_mito,24122
315,Sex_mito,16790
316,Sex_mito,13088
317,Sex_mito,12171
318,Sex_mito,22887
319,Sex_mito,7815
320,Sex_mito,29377
321,Sex_mito,32983
322,Sex_mito,10861
323,Sex_mito,6477
324,Sex_mito,22646
325,Sex_mito,7847
326,Sex_mito,19731
327,Sex_mito,21151
328,Sex_mito,18247
329,Sex_mito,14224
330,Sex_mito,18058
331,Sex_mito,12497
332,Sex_mito,15065
333,Sex_mito,26465
334,Sex_mito,7457
335,Sex_mito,8594
336,Sex_mito,19951
337,Sex_mito,16644
338,Sex_mito,9209
339,Sex_mito,22923
340,Sex_mito,12144
341,Sex_mito,27236
342,Sex_mito,10126
343,Sex_mito,28151
344,Sex_mito,10910
345,Sex_mito,16397
346,Sex_mito,37962
347,Sex_mito,8389
348,Sex_mito,8943
349,Sex_mito,13148
350,Sex_mito,13466
351,Sex_mito,12511
352,Sex_mito,11581
353,Sex_mito,20717
354,Sex_mito,19750
355,Sex_mito,15839
356,Sex_mito,16004
357,Sex_mito,12427
358,Sex_mito,22203
359,Sex_mito,13957
